terminal time is 40
initial theta is:  [-1.5  0.   0.   0.1  0.2]
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-1.62794225 -0.05146725  0.48383153  0.3381702   0.2       ]
iteration 3: [-1.2113561   0.03262014 -0.16261246 -0.12806182  0.2       ]
iteration 4: [-1.19666729  0.01224423  0.20671093 -0.25218645  0.2       ]
iteration 5: [-0.50394953  0.05198627 -0.01604002 -1.13037341  0.2       ]
iteration 6: [-0.58260807  0.03110423  0.6731332  -1.07612772  0.2       ]
iteration 7: [-0.45303481  0.02321452  0.70082279 -1.31754989  0.2       ]
iteration 113: [  2.86774065   0.05703501  13.36380319  -9.95527958   0.2       ]
iteration 114: [  2.85827916   0.05741813  13.39434758  -9.95393171   0.2       ]
iteration 115: [  2.84932331   0.05747053  13.44949767  -9.95991119   0.2       ]
iteration 116: [  2.8379652    0.05828936  13.46113628  -9.96466452   0.2       ]
iteration 117: [  2.82136927   0.05790112  13.49412995  -9.9776858    0.2       ]
iteration 118: [  2.80697302   0.05847151  13.53668305  -9.98808885   0.2       ]
iteration 119: [  2.79225832   0.0586088   13.56918824  -9.98973596   0.2       ]
iteration 120: [  2.78157024   0.05754216  13.62236804  -9.99715909   0.2       ]
iteration 121: [  2.76870881   0.05790831  13.62012354 -10.00090834   0.2       ]
iteration 122: [  2.75684061   0.05768933  13.65542372 -10.0056015    0.2       ]
iteration 123: [  2.7457547    0.05937294  13.64938943 -10.00988892   0.2       ]
iteration 124: [  2.7345223    0.06046833  13.63574828 -10.01543225   0.2       ]
iteration 125: [  2.72189694   0.0606038   13.66168777 -10.01748833   0.2       ]
iteration 126: [  2.7031507    0.06126757  13.68137886 -10.01987129   0.2       ]
iteration 127: [  2.68624587   0.0627443   13.66984099 -10.01859432   0.2       ]
iteration 128: [  2.67389332   0.06334213  13.69375084 -10.02232968   0.2       ]
iteration 129: [  2.65671864   0.06375544  13.72860583 -10.03648071   0.2       ]
iteration 130: [  2.64574129   0.0638021   13.75848771 -10.03924699   0.2       ]
iteration 131: [  2.62973454   0.06359997  13.79899452 -10.04583482   0.2       ]
iteration 132: [  2.61765732   0.06487786  13.80039443 -10.05530409   0.2       ]
iteration 133: [  2.60359903   0.06566959  13.81001621 -10.05216439   0.2       ]
iteration 134: [  2.59298821   0.06539857  13.81080693 -10.06548619   0.2       ]
iteration 135: [  2.5820396    0.06689039  13.81146138 -10.07408779   0.2       ]
iteration 136: [  2.56340295   0.06729854  13.8237108  -10.07544644   0.2       ]
iteration 137: [  2.55648789   0.06754071  13.81716211 -10.08600084   0.2       ]
iteration 138: [  2.54431009   0.06859492  13.8169441  -10.08842383   0.2       ]
iteration 139: [  2.54166715   0.06831543  13.82101097 -10.10629706   0.2       ]
iteration 140: [  2.52901329   0.06907624  13.81971797 -10.11945411   0.2       ]
iteration 141: [  2.51464954   0.06953997  13.82121876 -10.12080695   0.2       ]
iteration 142: [  2.50319818   0.06993706  13.82577031 -10.13628625   0.2       ]
iteration 143: [  2.49020052   0.07050082  13.83615713 -10.13739971   0.2       ]
iteration 144: [  2.47624879   0.07104797  13.82907712 -10.14735101   0.2       ]
iteration 145: [  2.46510116   0.07183438  13.8345353  -10.1463629    0.2       ]
iteration 146: [  2.45202824   0.07182193  13.8467365  -10.14803963   0.2       ]
iteration 147: [  2.44385027   0.07257131  13.85254828 -10.15249174   0.2       ]
iteration 148: [  2.440403     0.07324156  13.86127854 -10.16193102   0.2       ]
iteration 149: [  2.43359102   0.07360749  13.85626251 -10.16992699   0.2       ]
iteration 150: [  2.42195583   0.0741052   13.85137028 -10.17441139   0.2       ]
iteration 151: [  2.40841279   0.07510584  13.84472034 -10.1738604    0.2       ]
iteration 152: [  2.39965183   0.07544744  13.87643966 -10.17365598   0.2       ]
iteration 153: [  2.38254946   0.0755902   13.89505224 -10.1792153    0.2       ]
iteration 154: [  2.37120001   0.07626758  13.8870015  -10.18642907   0.2       ]
iteration 155: [  2.35884542   0.07691956  13.88831717 -10.19859434   0.2       ]
iteration 156: [  2.35167537   0.07755512  13.87981458 -10.19947597   0.2       ]
iteration 157: [  2.34079837   0.0780372   13.90263809 -10.20155615   0.2       ]
iteration 158: [  2.33513829   0.07927498  13.86906803 -10.21291011   0.2       ]
iteration 159: [  2.32433427   0.08011927  13.88085802 -10.20972322   0.2       ]
iteration 160: [  2.31595698   0.08012999  13.87957799 -10.21086988   0.2       ]
iteration 161: [  2.30106732   0.08078443  13.88962093 -10.20748116   0.2       ]
iteration 162: [  2.28822731   0.08115513  13.85016419 -10.21443703   0.2       ]
iteration 163: [  2.27619427   0.08263179  13.81965992 -10.22578865   0.2       ]
iteration 164: [  2.26633643   0.08356216  13.79901077 -10.23392041   0.2       ]
iteration 165: [  2.2560852    0.08457438  13.789238   -10.24977201   0.2       ]
iteration 166: [  2.24115623   0.08463965  13.78084893 -10.26376149   0.2       ]
iteration 167: [  2.23542321   0.08492537  13.78147557 -10.26920293   0.2       ]
iteration 168: [  2.2249981    0.08596195  13.77356596 -10.27515422   0.2       ]
iteration 169: [  2.2074115    0.08706636  13.77286746 -10.28743198   0.2       ]
iteration 170: [  2.18858844   0.08849436  13.75326073 -10.29118627   0.2       ]
iteration 171: [  2.1794666    0.08936601  13.78254804 -10.28794674   0.2       ]
iteration 172: [  2.15890207   0.0905741   13.76978484 -10.28138735   0.2       ]
iteration 173: [  2.15841142   0.09102015  13.76558188 -10.28858198   0.2       ]
iteration 174: [  2.15457615   0.09164561  13.76485783 -10.29949995   0.2       ]
iteration 175: [  2.14385623   0.09268691  13.77143376 -10.30096068   0.2       ]
iteration 176: [  2.14014585   0.09263936  13.77838175 -10.30461168   0.2       ]
iteration 177: [  2.13320535   0.09282785  13.78358359 -10.30727445   0.2       ]
iteration 178: [  2.12788059   0.09385753  13.76948838 -10.30804957   0.2       ]
iteration 179: [  2.12557326   0.09471786  13.77489031 -10.32179214   0.2       ]
iteration 180: [  2.12015448   0.09557179  13.74817784 -10.33004389   0.2       ]
iteration 181: [  2.10899515   0.09581991  13.75330319 -10.34421037   0.2       ]
iteration 182: [  2.10184565   0.09578661  13.77153876 -10.35696181   0.2       ]
iteration 183: [  2.08694508   0.09644582  13.76003416 -10.37192329   0.2       ]
iteration 184: [  2.08108535   0.09570063  13.8003009  -10.38049832   0.2       ]
iteration 185: [  2.07286904   0.09695555  13.77376782 -10.3885525    0.2       ]
iteration 186: [  2.06533278   0.09773514  13.77352642 -10.38637265   0.2       ]
iteration 187: [  2.05988644   0.09880045  13.79068499 -10.38830273   0.2       ]
iteration 188: [  2.04346117   0.09992212  13.79189338 -10.38920475   0.2       ]
iteration 189: [  2.03428164   0.10108703  13.7685886  -10.38983468   0.2       ]
iteration 190: [  2.02847821   0.10170586  13.75737037 -10.39387106   0.2       ]
iteration 191: [  2.01772663   0.10212377  13.75699525 -10.40343714   0.2       ]
iteration 192: [  2.010278     0.1028207   13.75783645 -10.40995347   0.2       ]
iteration 193: [  2.00270238   0.1030101   13.75924374 -10.41903043   0.2       ]
iteration 194: [  1.99721264   0.10398103  13.73702116 -10.42268623   0.2       ]
iteration 195: [  1.99381457   0.10508476  13.7175907  -10.43481521   0.2       ]
iteration 196: [  1.9799926    0.10496819  13.74459813 -10.43888013   0.2       ]
iteration 197: [  1.97135669   0.10538156  13.76057925 -10.43841463   0.2       ]
iteration 198: [  1.95773093   0.10689434  13.74348945 -10.45536835   0.2       ]
iteration 199: [  1.95368524   0.10776494  13.73790647 -10.45824922   0.2       ]
iteration 200: [  1.94596799   0.10812985  13.71095522 -10.45621259   0.2       ]
iteration 201: [  1.93791871   0.10883026  13.69429435 -10.46292947   0.2       ]
iteration 202: [  1.92921668   0.10968672  13.67401683 -10.46800548   0.2       ]
iteration 203: [  1.92258725   0.11040874  13.68667393 -10.47391386   0.2       ]
iteration 204: [  1.90604726   0.11160086  13.64549207 -10.47717631   0.2       ]
iteration 205: [  1.89117396   0.11243213  13.65312028 -10.47907562   0.2       ]
iteration 206: [  1.88445889   0.11317247  13.65886206 -10.47695518   0.2       ]
iteration 207: [  1.88316045   0.1132277   13.66162995 -10.4849681    0.2       ]
iteration 208: [  1.87638153   0.11426759  13.68266567 -10.48845756   0.2       ]
iteration 209: [  1.8696425    0.11425355  13.66495183 -10.49239758   0.2       ]
iteration 210: [  1.85722812   0.11463301  13.66145149 -10.4983525    0.2       ]
iteration 211: [  1.84529082   0.11520939  13.67172436 -10.49773932   0.2       ]
iteration 212: [  1.84690418   0.11500816  13.67377716 -10.50786091   0.2       ]
iteration 213: [  1.84165533   0.11613393  13.63890214 -10.51553067   0.2       ]
iteration 214: [  1.83080475   0.11675304  13.63829381 -10.51451711   0.2       ]
iteration 215: [  1.8234743    0.1171614   13.65067697 -10.51299802   0.2       ]
iteration 216: [  1.81128352   0.11781798  13.64121436 -10.51557966   0.2       ]
iteration 217: [  1.80840874   0.11863672  13.63520704 -10.52395787   0.2       ]
iteration 218: [  1.80428548   0.12033362  13.60696268 -10.5295526    0.2       ]
iteration 219: [  1.79511119   0.12042259  13.64160103 -10.53513529   0.2       ]
iteration 220: [  1.788628     0.12069107  13.64492175 -10.53758254   0.2       ]
iteration 221: [  1.77755989   0.1217323   13.6256328  -10.53840975   0.2       ]
iteration 222: [  1.7713862    0.12222565  13.63069469 -10.54656601   0.2       ]
iteration 223: [  1.76921843   0.12238304  13.65679339 -10.54786166   0.2       ]
iteration 224: [  1.76685016   0.12284185  13.67705401 -10.55589358   0.2       ]
iteration 225: [  1.75376538   0.12400858  13.64995532 -10.55481202   0.2       ]
iteration 226: [  1.74642389   0.12464249  13.6617795  -10.55762725   0.2       ]
iteration 227: [  1.74181942   0.12531153  13.66654763 -10.55707758   0.2       ]
iteration 228: [  1.73607059   0.1268706   13.64320703 -10.56161214   0.2       ]
iteration 229: [  1.73072298   0.12727898  13.66445759 -10.56649315   0.2       ]
iteration 230: [  1.72290889   0.12880984  13.64355247 -10.57748129   0.2       ]
iteration 231: [  1.71802672   0.12908268  13.649588   -10.58693986   0.2       ]
iteration 232: [  1.71284376   0.12977538  13.65117637 -10.58755473   0.2       ]
iteration 233: [  1.70492345   0.13096197  13.65322772 -10.5887872    0.2       ]
iteration 234: [  1.70184599   0.13126259  13.64158524 -10.59304364   0.2       ]
iteration 235: [  1.69510371   0.13145602  13.64796125 -10.59752376   0.2       ]
iteration 236: [  1.686553     0.13211767  13.63701634 -10.58882606   0.2       ]
iteration 237: [  1.6796011    0.13287661  13.61110651 -10.5894122    0.2       ]
iteration 238: [  1.6727625    0.13355965  13.57397238 -10.58864297   0.2       ]
iteration 239: [  1.66541068   0.13397304  13.57615889 -10.59384265   0.2       ]
iteration 240: [  1.65471306   0.1345887   13.57358842 -10.60185066   0.2       ]
iteration 241: [  1.65030404   0.13536381  13.56372427 -10.60249626   0.2       ]
iteration 242: [  1.64211909   0.13545839  13.55260333 -10.6010725    0.2       ]
