snaptimes are [ 0 10 15 20 40]
initial theta is:  [-1.09639492  0.17766198 -0.19591798  0.57649007  0.2       ]
Nx test is: 1000
Nx observed are: [1000, 1000, 1000, 1000, 1000]
Alpha is : 1
iteration 128: [ -0.43653439   0.50962183  21.94429097   5.61706113   0.2       ]
iteration 129: [ -0.42751784   0.50657819  22.07666824   5.62643568   0.2       ]
iteration 130: [ -0.44245823   0.50448081  22.16005129   5.63369367   0.2       ]
iteration 131: [ -0.42896809   0.50498817  22.24257378   5.63737893   0.2       ]
iteration 132: [ -0.42114538   0.50380747  22.33098938   5.62356173   0.2       ]
iteration 133: [ -0.41114415   0.50607771  22.31544253   5.6212365    0.2       ]
iteration 134: [ -0.41738715   0.50697461  22.26394504   5.62329095   0.2       ]
iteration 135: [ -0.40705251   0.50628981  22.30343271   5.62407585   0.2       ]
iteration 136: [ -0.393707     0.50800297  22.29036226   5.62827797   0.2       ]
iteration 137: [ -0.39554484   0.50814325  22.30915826   5.61784523   0.2       ]
iteration 138: [ -0.40302916   0.509072    22.30186008   5.61737168   0.2       ]
iteration 139: [ -0.38471383   0.50938696  22.39375709   5.62500487   0.2       ]
iteration 140: [ -0.39140808   0.51064061  22.35569483   5.61304843   0.2       ]
iteration 141: [ -0.37826809   0.50971295  22.34342954   5.61108541   0.2       ]
iteration 142: [ -0.38247184   0.50848474  22.32552166   5.6148989    0.2       ]
iteration 143: [ -0.39941152   0.50863567  22.31800122   5.59937367   0.2       ]
iteration 144: [ -0.40563844   0.50714372  22.35802078   5.58517428   0.2       ]
iteration 145: [ -0.39506122   0.50683711  22.31446375   5.61394883   0.2       ]
iteration 146: [ -0.38575426   0.50647303  22.34044729   5.6248376    0.2       ]
iteration 147: [ -0.36050854   0.50843626  22.35013658   5.59091972   0.2       ]
iteration 148: [ -0.35590011   0.51041998  22.34841942   5.5956182    0.2       ]
iteration 149: [ -0.35693157   0.51183132  22.37698744   5.61477542   0.2       ]
iteration 150: [ -0.34630262   0.51212584  22.49041401   5.62995384   0.2       ]
iteration 151: [ -0.35146762   0.51305733  22.42820729   5.64116097   0.2       ]
iteration 152: [ -0.35381622   0.51172995  22.45814198   5.65426902   0.2       ]
iteration 153: [ -0.35968535   0.51111649  22.46978112   5.65877544   0.2       ]
iteration 154: [ -0.35515221   0.51140083  22.53990904   5.64423759   0.2       ]
iteration 155: [ -0.34230248   0.51115343  22.67402265   5.67728932   0.2       ]
iteration 156: [ -0.33211693   0.51133683  22.65744324   5.67561979   0.2       ]
iteration 157: [ -0.33215906   0.5120618   22.61961796   5.66910601   0.2       ]
iteration 158: [ -0.3358706    0.51172294  22.57720278   5.67659894   0.2       ]
iteration 159: [ -0.29640499   0.51164383  22.56157324   5.65749142   0.2       ]
iteration 160: [ -0.31421014   0.51084885  22.58581781   5.63305342   0.2       ]
iteration 161: [ -0.31920879   0.51103709  22.69031862   5.62014417   0.2       ]
iteration 162: [ -0.30890276   0.5126213   22.69066921   5.61086296   0.2       ]
iteration 163: [ -0.29006159   0.51315504  22.66475519   5.6410786    0.2       ]
iteration 164: [ -0.30582994   0.51210534  22.76841492   5.66219013   0.2       ]
iteration 165: [ -0.29083773   0.51272173  22.86529889   5.64490691   0.2       ]
iteration 166: [ -0.29618855   0.51098117  22.82237836   5.64428275   0.2       ]
iteration 167: [ -0.30596697   0.5111387   22.8507597    5.65452286   0.2       ]
iteration 168: [ -0.2893273    0.51020122  22.87420292   5.65062067   0.2       ]
iteration 169: [ -0.25965867   0.51201175  22.87847979   5.64466016   0.2       ]
iteration 170: [ -0.27077769   0.51140276  22.93502354   5.6567552    0.2       ]
iteration 171: [ -0.27826399   0.50988864  22.97694603   5.65868121   0.2       ]
iteration 172: [ -0.2617598    0.50905732  23.08777495   5.67619833   0.2       ]
iteration 173: [ -0.24875568   0.50654311  23.26909704   5.67689574   0.2       ]
iteration 174: [ -0.24673942   0.50663633  23.30390211   5.63508979   0.2       ]
iteration 175: [ -0.2637646    0.50725796  23.3763365    5.63367757   0.2       ]
iteration 176: [ -0.25909012   0.50565137  23.4417212    5.62237655   0.2       ]
iteration 177: [ -0.26103054   0.50616836  23.47703984   5.62282123   0.2       ]
iteration 178: [ -0.25329563   0.50540616  23.5556933    5.60418811   0.2       ]
iteration 179: [ -0.24601914   0.50519362  23.52733914   5.61988114   0.2       ]
iteration 180: [ -0.23969622   0.50414768  23.5801213    5.64277597   0.2       ]
iteration 181: [ -0.22036623   0.50483825  23.53260117   5.67448303   0.2       ]
iteration 182: [ -0.20420768   0.50577877  23.52143352   5.67920262   0.2       ]
iteration 183: [ -0.21670636   0.50607408  23.59817322   5.68531637   0.2       ]
iteration 184: [ -0.21827129   0.50659546  23.6345712    5.69306897   0.2       ]
iteration 185: [ -0.21076537   0.5050354   23.74946574   5.69953435   0.2       ]
iteration 186: [ -0.21880577   0.50447478  23.82324431   5.71115373   0.2       ]
iteration 187: [ -0.21820712   0.50541697  23.90473274   5.69376527   0.2       ]
iteration 188: [ -0.21927657   0.50424188  23.92482727   5.7138311    0.2       ]
iteration 189: [ -0.21557439   0.50390292  24.00258236   5.70548152   0.2       ]
iteration 190: [ -0.18826252   0.50350494  23.98961459   5.72630265   0.2       ]
iteration 191: [ -0.19588555   0.50412364  23.96967362   5.72178748   0.2       ]
iteration 192: [ -0.19452587   0.50645109  23.95735388   5.73846449   0.2       ]
iteration 193: [ -0.19212652   0.50599843  23.99140688   5.76446991   0.2       ]
iteration 194: [ -0.18998538   0.50842977  23.90964379   5.75171308   0.2       ]
iteration 195: [ -0.18920329   0.50769779  23.88569587   5.76498785   0.2       ]
iteration 196: [ -0.18700795   0.50657194  23.96756887   5.79690908   0.2       ]
iteration 197: [ -0.15394691   0.50717247  23.99689174   5.80739408   0.2       ]
iteration 198: [ -0.16840828   0.50488873  23.93107277   5.77971929   0.2       ]
iteration 199: [ -0.16871432   0.50556838  23.9910223    5.77964186   0.2       ]
iteration 200: [ -0.17016384   0.50622883  24.00093848   5.76726437   0.2       ]
iteration 201: [ -0.14496854   0.50516989  24.05021899   5.75084654   0.2       ]
iteration 202: [ -0.14632499   0.50467054  24.03026102   5.78081887   0.2       ]
iteration 203: [ -0.15055282   0.50441097  24.0729087    5.77347604   0.2       ]
iteration 204: [ -0.15240812   0.50482226  24.01257007   5.7714819    0.2       ]
iteration 205: [ -0.14319795   0.50644532  24.01555114   5.75495885   0.2       ]
iteration 206: [ -0.13668649   0.50568161  24.14547427   5.77043107   0.2       ]
iteration 207: [ -0.10626572   0.50691442  24.06842731   5.75118438   0.2       ]
iteration 208: [ -0.10292434   0.50499383  24.20704908   5.76195317   0.2       ]
iteration 209: [ -0.12405915   0.50507495  24.20597849   5.77204954   0.2       ]
iteration 210: [ -0.12436849   0.50517213  24.21658034   5.80541351   0.2       ]
iteration 211: [ -0.10359361   0.5047609   24.19114222   5.80381637   0.2       ]
iteration 212: [ -0.10753688   0.50781112  24.1815424    5.82243021   0.2       ]
iteration 213: [ -0.10513631   0.50708968  24.27347838   5.81715262   0.2       ]
iteration 214: [ -0.1115277    0.50594489  24.25600149   5.79797783   0.2       ]
iteration 215: [ -0.08044167   0.50543598  24.23078387   5.78819813   0.2       ]
iteration 216: [ -0.07828925   0.50681932  24.32285165   5.78497161   0.2       ]
iteration 217: [ -0.08769788   0.50411745  24.43958006   5.78020888   0.2       ]
iteration 218: [ -0.10263671   0.50489392  24.43660313   5.78318238   0.2       ]
iteration 219: [ -0.1110444    0.50307005  24.40204688   5.79245625   0.2       ]
iteration 220: [ -0.09768949   0.5047245   24.46651798   5.83010399   0.2       ]
iteration 221: [ -0.10424796   0.50541702  24.352585     5.84167247   0.2       ]
iteration 222: [ -0.10032796   0.5064317   24.45141813   5.84434155   0.2       ]
iteration 223: [ -0.094659     0.50712338  24.44890825   5.85342252   0.2       ]
iteration 224: [ -0.08466496   0.50892517  24.44023455   5.83279148   0.2       ]
iteration 225: [ -0.09494837   0.5106715   24.46950345   5.82464517   0.2       ]
iteration 226: [ -0.09571753   0.51047534  24.45204174   5.78668977   0.2       ]
iteration 227: [ -0.09035719   0.50940074  24.45272412   5.78770765   0.2       ]
iteration 228: [ -0.08310215   0.50901071  24.53670024   5.80372473   0.2       ]
iteration 229: [ -0.08250572   0.50634634  24.67074149   5.81034873   0.2       ]
iteration 230: [ -0.07810928   0.50644114  24.53845155   5.8104666    0.2       ]
iteration 231: [ -0.09137087   0.50646278  24.56167639   5.803376     0.2       ]
iteration 232: [ -0.1013336    0.50717847  24.50515277   5.80140788   0.2       ]
iteration 233: [ -0.11600586   0.50698213  24.55164575   5.77313045   0.2       ]
iteration 234: [ -0.10259805   0.50692796  24.57928712   5.75957623   0.2       ]
iteration 235: [ -0.09856374   0.50817497  24.5672943    5.74383867   0.2       ]
iteration 236: [ -0.11362977   0.50616278  24.61900798   5.75362292   0.2       ]
iteration 237: [ -0.10691651   0.50582295  24.53972269   5.75397906   0.2       ]
iteration 238: [ -0.08952983   0.50582209  24.55799466   5.75091991   0.2       ]
iteration 239: [ -0.08723747   0.50453044  24.6499374    5.75641841   0.2       ]
iteration 240: [ -0.09829326   0.50412073  24.70467772   5.76444423   0.2       ]
iteration 241: [ -0.11477531   0.50603873  24.53705402   5.73650494   0.2       ]
iteration 242: [ -0.08695861   0.50574192  24.60385137   5.75378315   0.2       ]
iteration 243: [ -0.08425024   0.50582437  24.70679355   5.74316696   0.2       ]
iteration 244: [ -0.0708614    0.50357579  24.78159593   5.7488559    0.2       ]
iteration 245: [ -0.06640283   0.50502845  24.72044184   5.76431023   0.2       ]
iteration 246: [ -0.08626532   0.50520088  24.64649401   5.77242676   0.2       ]
iteration 247: [ -0.06203363   0.50403357  24.68833612   5.80208595   0.2       ]
iteration 248: [ -0.07538183   0.5047787   24.70134688   5.81228474   0.2       ]
iteration 249: [ -0.07488485   0.50497415  24.69771591   5.81651157   0.2       ]
iteration 250: [ -0.05772624   0.5054516   24.70946601   5.80778842   0.2       ]
iteration 251: [ -0.05255328   0.5074257   24.65569121   5.80241693   0.2       ]
iteration 252: [ -0.03301285   0.50771684  24.61136415   5.81214479   0.2       ]
iteration 253: [ -1.82205216e-02   5.06986307e-01   2.46676298e+01   5.80132687e+00
   2.00000000e-01]
iteration 254: [ -1.20418084e-02   5.05974527e-01   2.47927784e+01   5.81124220e+00
   2.00000000e-01]
iteration 255: [ -0.02558257   0.50853663  24.68196013   5.81452266   0.2       ]
iteration 256: [ -1.88192950e-02   5.08005934e-01   2.47442134e+01   5.82052841e+00
   2.00000000e-01]
