terminal time is 12
initial theta is:  [-1.5  0.   0.   0.1  0.2]
Nx test is: 20000
Nx observed is: 1000
Alpha is : 0.1
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-2.35123598 -0.08322877 -0.3460094   1.16464074  0.2       ]
iteration 118: [ -6.00812061  -0.57195826 -19.65100149   8.6554408    0.2       ]
iteration 119: [ -6.00373291  -0.57174952 -19.72507814   8.63228479   0.2       ]
iteration 120: [ -6.00847402  -0.57273178 -19.68304339   8.62977869   0.2       ]
iteration 121: [ -6.00686736  -0.57270316 -19.70494773   8.61797221   0.2       ]
iteration 122: [ -6.00198171  -0.57242802 -19.73985571   8.60414843   0.2       ]
iteration 123: [ -5.98214051  -0.57211829 -19.78032533   8.59640108   0.2       ]
iteration 124: [ -5.98337888  -0.57247169 -19.81256421   8.56700049   0.2       ]
iteration 125: [ -5.96279634  -0.57078075 -19.8955865    8.55153633   0.2       ]
iteration 126: [ -5.94844376  -0.56983268 -19.96359647   8.52511536   0.2       ]
iteration 127: [ -5.94281059  -0.56982618 -20.03979277   8.52156991   0.2       ]
iteration 128: [ -5.93477205  -0.56910936 -20.14792901   8.49263736   0.2       ]
iteration 129: [ -5.93497494  -0.56916261 -20.19313849   8.4747725    0.2       ]
iteration 130: [ -5.91908009  -0.56920293 -20.21737242   8.46401649   0.2       ]
iteration 131: [ -5.92238359  -0.57016962 -20.2323587    8.46280801   0.2       ]
iteration 132: [ -5.92438439  -0.57000038 -20.26402876   8.46531405   0.2       ]
iteration 133: [ -5.92878643  -0.57039983 -20.35337117   8.46719603   0.2       ]
iteration 134: [ -5.9219429   -0.56975872 -20.4163157    8.4527539    0.2       ]
iteration 135: [ -5.90779084  -0.56942732 -20.44519338   8.43448697   0.2       ]
iteration 136: [ -5.91208589  -0.57011619 -20.47587241   8.43158826   0.2       ]
iteration 137: [ -5.90863411  -0.57021576 -20.53699638   8.41293839   0.2       ]
iteration 138: [ -5.91425555  -0.56949833 -20.56581996   8.41766133   0.2       ]
iteration 139: [ -5.90515242  -0.56935325 -20.55551571   8.43159618   0.2       ]
iteration 140: [ -5.89808887  -0.56864777 -20.55883119   8.43588623   0.2       ]
iteration 141: [ -5.89446668  -0.56760803 -20.61850536   8.42310289   0.2       ]
iteration 142: [ -5.88764172  -0.56674283 -20.64971509   8.40058181   0.2       ]
iteration 143: [ -5.87944694  -0.56650019 -20.73790145   8.38681138   0.2       ]
iteration 144: [ -5.88083535  -0.5662417  -20.7475856    8.36985676   0.2       ]
iteration 145: [ -5.88211831  -0.56605469 -20.8084109    8.37638509   0.2       ]
iteration 146: [ -5.87649556  -0.56635974 -20.84628263   8.3723499    0.2       ]
iteration 147: [ -5.86662119  -0.56592139 -20.90638376   8.35567594   0.2       ]
iteration 148: [ -5.84446088  -0.56574895 -20.93792711   8.33642036   0.2       ]
iteration 149: [ -5.83740841  -0.56635452 -20.91443653   8.31901762   0.2       ]
iteration 150: [ -5.8113944   -0.5647369  -20.95482037   8.29814899   0.2       ]
iteration 151: [ -5.81083224  -0.56414682 -20.98946007   8.30574034   0.2       ]
iteration 152: [ -5.81047718  -0.56395791 -21.04735302   8.29405429   0.2       ]
iteration 153: [ -5.80059807  -0.56320065 -21.10896298   8.28604932   0.2       ]
iteration 154: [ -5.79165798  -0.56241438 -21.11849544   8.28726583   0.2       ]
iteration 155: [ -5.78528512  -0.56256667 -21.19581749   8.28036986   0.2       ]
iteration 156: [ -5.77907624  -0.56142479 -21.25392082   8.26340519   0.2       ]
iteration 157: [ -5.7717435   -0.56065518 -21.25142941   8.2592252    0.2       ]
iteration 158: [ -5.75623078  -0.5597456  -21.33047197   8.2497433    0.2       ]
iteration 159: [ -5.74044139  -0.56005412 -21.3825085    8.23094788   0.2       ]
iteration 160: [ -5.72693833  -0.55907255 -21.48369092   8.20994758   0.2       ]
iteration 161: [ -5.71784629  -0.55887204 -21.48061716   8.19911098   0.2       ]
iteration 162: [ -5.70926065  -0.55914999 -21.51384055   8.18395749   0.2       ]
iteration 163: [ -5.69842953  -0.55720645 -21.58622223   8.17162294   0.2       ]
iteration 164: [ -5.69060527  -0.55663934 -21.65963507   8.16249688   0.2       ]
iteration 165: [ -5.69524572  -0.55626731 -21.70674725   8.15122077   0.2       ]
iteration 166: [ -5.69329099  -0.55675639 -21.76366225   8.12808847   0.2       ]
iteration 167: [ -5.68767779  -0.5566795  -21.76613866   8.11793823   0.2       ]
iteration 168: [ -5.6696949   -0.55604887 -21.78412562   8.11234428   0.2       ]
iteration 169: [ -5.66628642  -0.55503319 -21.84425475   8.09367661   0.2       ]
iteration 170: [ -5.65764373  -0.55528889 -21.87110357   8.08903319   0.2       ]
iteration 171: [ -5.65479831  -0.55529917 -21.88353747   8.07538907   0.2       ]
iteration 172: [ -5.65397869  -0.55495529 -21.91363019   8.0719681    0.2       ]
iteration 173: [ -5.64606923  -0.55526995 -21.92708352   8.07717536   0.2       ]
iteration 174: [ -5.6335119   -0.5543991  -21.95795213   8.06101307   0.2       ]
iteration 175: [ -5.62708944  -0.55427429 -21.99938431   8.06345474   0.2       ]
iteration 176: [ -5.60750639  -0.55359924 -21.98827041   8.04206348   0.2       ]
iteration 177: [ -5.59840547  -0.55298799 -22.03750743   8.05145114   0.2       ]
iteration 178: [ -5.58571742  -0.55260641 -22.03365047   8.05202896   0.2       ]
iteration 179: [ -5.5813709   -0.55167967 -22.11654371   8.04650643   0.2       ]
iteration 180: [ -5.56752242  -0.55112709 -22.10862692   8.02826146   0.2       ]
iteration 181: [ -5.56554789  -0.55177374 -22.14510508   8.0389454    0.2       ]
iteration 182: [ -5.56587814  -0.5517262  -22.16259482   8.04385336   0.2       ]
iteration 183: [ -5.55496945  -0.55114898 -22.19556277   8.0392664    0.2       ]
iteration 184: [ -5.54538159  -0.54930996 -22.26736743   8.02975259   0.2       ]
iteration 185: [ -5.53826858  -0.54884596 -22.28769006   8.02396143   0.2       ]
iteration 186: [ -5.53243158  -0.54775885 -22.28917422   8.01203717   0.2       ]
iteration 187: [ -5.5158671   -0.54637657 -22.29741277   7.99258127   0.2       ]
iteration 188: [ -5.49959318  -0.54512395 -22.38227771   7.99378447   0.2       ]
iteration 189: [ -5.48142485  -0.54468878 -22.42155224   7.97221356   0.2       ]
iteration 190: [ -5.47674888  -0.54462098 -22.47018668   7.95354253   0.2       ]
iteration 191: [ -5.47672529  -0.5432442  -22.53011843   7.94281311   0.2       ]
iteration 192: [ -5.47246316  -0.54378796 -22.56524513   7.91482327   0.2       ]
iteration 193: [ -5.46604487  -0.54378154 -22.61176214   7.90399168   0.2       ]
iteration 194: [ -5.45167861  -0.54265305 -22.62036175   7.89386489   0.2       ]
iteration 195: [ -5.43472669  -0.5415692  -22.6653088    7.86622616   0.2       ]
iteration 196: [ -5.43340389  -0.54131094 -22.70898236   7.85120812   0.2       ]
iteration 197: [ -5.42749443  -0.53991572 -22.8009429    7.84569591   0.2       ]
iteration 198: [ -5.43834282  -0.53873948 -22.84496853   7.85176549   0.2       ]
iteration 199: [ -5.42533908  -0.53826441 -22.87147317   7.85183983   0.2       ]
iteration 200: [ -5.4207811   -0.53727392 -22.87534125   7.84419651   0.2       ]
iteration 201: [ -5.40814419  -0.53646099 -22.9385881    7.84058028   0.2       ]
iteration 202: [ -5.40275501  -0.53515542 -22.96965051   7.8428748    0.2       ]
iteration 203: [ -5.39216268  -0.53494487 -23.02793165   7.8065827    0.2       ]
iteration 204: [ -5.37938413  -0.53408977 -23.08657947   7.79437837   0.2       ]
iteration 205: [ -5.36742396  -0.53247255 -23.12689878   7.77777045   0.2       ]
iteration 206: [ -5.35359631  -0.53170719 -23.18336461   7.77915582   0.2       ]
iteration 207: [ -5.33794766  -0.53079594 -23.20726793   7.76863281   0.2       ]
iteration 208: [ -5.32382691  -0.52894916 -23.28672924   7.75992751   0.2       ]
iteration 209: [ -5.31993562  -0.52864494 -23.34639545   7.747592     0.2       ]
iteration 210: [ -5.31308142  -0.52846473 -23.38092526   7.73644804   0.2       ]
iteration 211: [ -5.30297657  -0.52768285 -23.42146419   7.71323858   0.2       ]
iteration 212: [ -5.28047752  -0.52592305 -23.48886004   7.71804058   0.2       ]
iteration 213: [ -5.25885791  -0.52585731 -23.53016729   7.70949516   0.2       ]
iteration 214: [ -5.254431    -0.52446352 -23.58262374   7.71772885   0.2       ]
iteration 215: [ -5.24531417  -0.52335791 -23.61801943   7.71657721   0.2       ]
iteration 216: [ -5.24982432  -0.52247484 -23.67792389   7.70691752   0.2       ]
iteration 217: [ -5.22815602  -0.52054186 -23.70205675   7.70588073   0.2       ]
iteration 218: [ -5.21254774  -0.51999295 -23.69089463   7.69092526   0.2       ]
iteration 219: [ -5.19950667  -0.51902759 -23.71140308   7.68469203   0.2       ]
iteration 220: [ -5.17920866  -0.51772347 -23.77332003   7.65926079   0.2       ]
iteration 221: [ -5.17027559  -0.51528035 -23.84432252   7.64946668   0.2       ]
iteration 222: [ -5.16156284  -0.51277417 -23.90396583   7.64880348   0.2       ]
iteration 223: [ -5.14023912  -0.51118837 -23.96938076   7.63730197   0.2       ]
iteration 224: [ -5.11987527  -0.50982479 -23.98500255   7.62503952   0.2       ]
