terminal time is 12
initial theta is:  [-1.5  0.   0.   0.1  0.2]
Nx test is: 20000
Nx observed is: 1000
Alpha is : 0.01
iteration 1: [-1.5  0.   0.   0.1  0.2]
iteration 2: [-2.42289418 -0.09077673 -0.37778315  1.25510463  0.2       ]
iteration 131: [ -5.42212803  -0.57403317 -20.86899975   8.00898469   0.2       ]
iteration 132: [ -5.422955    -0.57355769 -20.91382738   8.01311405   0.2       ]
iteration 133: [ -5.42333592  -0.57460882 -20.98032836   8.01717362   0.2       ]
iteration 134: [ -5.41190093  -0.57350878 -21.02296172   8.00861696   0.2       ]
iteration 135: [ -5.39156445  -0.57273995 -21.06058256   7.98374634   0.2       ]
iteration 136: [ -5.39089023  -0.57297203 -21.07519953   7.97224369   0.2       ]
iteration 137: [ -5.38040136  -0.5721766  -21.1567127    7.94702881   0.2       ]
iteration 138: [ -5.38104647  -0.57146906 -21.22175278   7.94764514   0.2       ]
iteration 139: [ -5.36563411  -0.57090677 -21.24050405   7.96800932   0.2       ]
iteration 140: [ -5.35882746  -0.5692406  -21.2687201    7.95945396   0.2       ]
iteration 141: [ -5.35019036  -0.56887092 -21.29287662   7.94289763   0.2       ]
iteration 142: [ -5.34234677  -0.56788909 -21.40636892   7.93014389   0.2       ]
iteration 143: [ -5.33307416  -0.5660126  -21.49975269   7.91707654   0.2       ]
iteration 144: [ -5.33275389  -0.56563544 -21.47602062   7.91308988   0.2       ]
iteration 145: [ -5.3250654   -0.56534668 -21.55811466   7.93182498   0.2       ]
iteration 146: [ -5.31401085  -0.5654517  -21.60509617   7.92207431   0.2       ]
iteration 147: [ -5.29880247  -0.56437817 -21.64858303   7.9086467    0.2       ]
iteration 148: [ -5.27690826  -0.56403083 -21.64400918   7.90840262   0.2       ]
iteration 149: [ -5.26761526  -0.5643731  -21.65347809   7.89001309   0.2       ]
iteration 150: [ -5.24041654  -0.56225434 -21.76006544   7.86861586   0.2       ]
iteration 151: [ -5.23134654  -0.55962324 -21.85877897   7.8668397    0.2       ]
iteration 152: [ -5.22603983  -0.55941899 -21.89120135   7.86711067   0.2       ]
iteration 153: [ -5.21024958  -0.55832486 -21.97508751   7.85089705   0.2       ]
iteration 154: [ -5.20208113  -0.55799978 -21.99337716   7.83880332   0.2       ]
iteration 155: [ -5.20056983  -0.55869331 -22.05094375   7.84479148   0.2       ]
iteration 156: [ -5.18467044  -0.55663584 -22.09133776   7.83286127   0.2       ]
iteration 157: [ -5.17771605  -0.55545508 -22.10914195   7.83036552   0.2       ]
iteration 158: [ -5.15765976  -0.55571922 -22.13573025   7.83482892   0.2       ]
iteration 159: [ -5.14354195  -0.55583933 -22.15365708   7.82808199   0.2       ]
iteration 160: [ -5.13054283  -0.55394339 -22.26036232   7.81633676   0.2       ]
iteration 161: [ -5.11623835  -0.55292298 -22.3009542    7.80434313   0.2       ]
iteration 162: [ -5.10925138  -0.55285937 -22.31033789   7.79743746   0.2       ]
iteration 163: [ -5.0877507   -0.55048561 -22.37497851   7.77533705   0.2       ]
iteration 164: [ -5.08333665  -0.54967033 -22.48173706   7.77602562   0.2       ]
iteration 165: [ -5.08200012  -0.54897375 -22.50384999   7.77175862   0.2       ]
iteration 166: [ -5.07471503  -0.54816746 -22.55673526   7.74681554   0.2       ]
iteration 167: [ -5.05904609  -0.54694531 -22.5770013    7.73780764   0.2       ]
iteration 168: [ -5.02967094  -0.54544753 -22.59961651   7.71876116   0.2       ]
iteration 169: [ -5.02239566  -0.54369344 -22.64908493   7.68918103   0.2       ]
iteration 170: [ -5.01142229  -0.54367051 -22.69934115   7.68546509   0.2       ]
iteration 171: [ -5.01009721  -0.54330185 -22.73589744   7.67147332   0.2       ]
iteration 172: [ -5.0048489   -0.5429313  -22.73961243   7.67145423   0.2       ]
iteration 173: [ -4.99330926  -0.54345601 -22.74136037   7.67124445   0.2       ]
iteration 174: [ -4.97202311  -0.54105463 -22.80517298   7.65487351   0.2       ]
